iter	Passed	Remaining
0	3	3922
1	7	3499
2	9	3278
3	13	3243
4	16	3334
5	20	3341
6	23	3329
7	26	3270
8	43	4744
9	46	4606
10	49	4467
11	52	4362
12	55	4223
13	59	4165
14	63	4171
15	66	4109
16	69	4043
17	75	4111
18	79	4089
19	82	4037
20	85	4000
21	89	3958
22	103	4402
23	106	4333
24	109	4278
25	112	4203
26	115	4163
27	155	5393
28	159	5343
29	162	5264
30	166	5190
31	168	5110
32	172	5061
33	176	5014
34	180	4969
35	183	4906
36	188	4910
37	192	4873
38	195	4828
39	198	4758
40	200	4690
41	203	4649
42	207	4614
43	210	4573
44	213	4535
45	216	4495
46	220	4463
47	223	4438
48	226	4404
49	229	4369
50	233	4338
51	236	4310
52	239	4286
53	242	4253
54	245	4222
55	249	4200
56	252	4174
57	256	4158
58	259	4136
59	262	4111
60	265	4085
61	268	4062
62	272	4048
63	274	4020
64	277	3998
65	281	3980
66	285	3969
67	287	3946
68	290	3926
69	294	3908
70	297	3892
71	301	3881
72	304	3869
73	307	3853
74	311	3843
75	314	3825
76	318	3814
77	321	3796
78	324	3785
79	327	3770
80	330	3755
81	334	3741
82	337	3730
83	341	3721
84	345	3715
85	349	3718
86	352	3695
87	355	3684
88	358	3673
89	361	3650
90	366	3661
91	370	3653
92	373	3644
93	376	3631
94	381	3634
95	384	3619
96	387	3608
97	390	3590
98	393	3577
99	396	3569
100	399	3560
101	403	3548
102	405	3533
103	408	3521
104	412	3515
105	415	3500
106	418	3489
107	421	3479
108	424	3468
109	427	3462
110	431	3457
111	434	3442
112	437	3431
113	440	3421
114	443	3414
115	446	3405
116	450	3396
117	452	3385
118	456	3376
119	459	3371
120	463	3363
121	466	3354
122	469	3345
123	472	3339
124	475	3329
125	478	3322
126	482	3313
127	485	3305
128	488	3299
129	492	3294
130	495	3286
131	498	3279
132	501	3270
133	505	3264
134	509	3262
135	512	3255
136	515	3248
137	519	3243
138	522	3238
139	526	3231
140	529	3224
141	532	3217
142	535	3211
143	539	3208
144	542	3201
145	546	3195
146	550	3195
147	554	3190
148	557	3184
149	561	3179
150	564	3174
151	567	3168
152	571	3163
153	574	3157
154	578	3151
155	581	3145
156	584	3137
157	587	3132
158	591	3126
159	594	3120
160	597	3114
161	600	3108
162	604	3103
163	607	3098
164	610	3092
165	614	3085
166	617	3080
167	620	3074
168	624	3069
169	627	3063
170	630	3057
171	634	3056
172	638	3052
173	641	3046
174	644	3039
175	647	3033
176	652	3033
177	655	3027
178	658	3021
179	662	3017
180	666	3014
181	669	3008
182	672	3002
183	675	2996
184	679	2991
185	682	2988
186	686	2983
187	689	2977
188	692	2972
189	696	2967
190	699	2962
191	702	2957
192	705	2950
193	708	2945
194	712	2942
195	715	2936
196	719	2930
197	722	2925
198	725	2919
199	729	2917
200	732	2912
201	736	2907
202	739	2902
203	742	2898
204	746	2895
205	749	2890
206	753	2885
207	756	2881
208	760	2876
209	763	2871
210	767	2868
211	770	2863
212	773	2858
213	777	2855
214	780	2849
